S.No.,Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
1824,Jeep Compass 2.0 Limited Option Black,2017,7000,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,84.76512
1825,Maruti Vitara Brezza VDi Option,2017,71256,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,46.535808
1826,Toyota Corolla Altis 1.8 GL,2012,83184,Petrol,Manual,First,14.28 kmpl,1798 CC,138.03 bhp,5,30.214272
1827,Mahindra XUV500 W8 2WD,2013,87284,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,37.88928
1828,BMW X1 xDrive 20d xLine,2016,7000,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,5,134.7984
1829,Hyundai i20 Magna 1.4 CRDi,2015,29000,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5,34.0032
1830,Mercedes-Benz GLE 350d,2017,33552,Diesel,Automatic,First,11.57 kmpl,2987 CC,254.79 bhp,5,315.112512
1831,Chevrolet Cruze LTZ,2013,64000,Diesel,Manual,Second,17.3 kmpl,1998 CC,163.7 bhp,5,31.5744
1832,Hyundai i20 1.2 Magna,2011,82000,Petrol,Manual,Second,18.5 kmpl,1197 CC,80 bhp,5,13.11552
1833,Honda Brio S MT,2012,70000,Petrol,Manual,Second,19.4 kmpl,1198 CC,86.8 bhp,5,12.144
1834,Nissan Evalia 2013 XL,2013,166194,Diesel,Manual,First,19.3 kmpl,1461 CC,84.8 bhp,7,18.94464
1835,Volkswagen Polo Petrol Trendline 1.2L,2015,58000,Petrol,Manual,First,16.47 kmpl,1198 CC,73.9 bhp,5,19.18752
1836,Hyundai i10 Sportz 1.2,2010,77000,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5,10.20096
1837,Chevrolet Cruze LTZ AT,2009,73204,Diesel,Automatic,Third,18.1 kmpl,1991 CC,147.9 bhp,4,17.0016
1838,Hyundai i10 Era,2007,70000,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5,9.7152
1839,Maruti Ertiga VDI,2014,79870,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,25.98816
1840,Honda Amaze S i-Dtech,2013,90000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,18.45888
1841,Mercedes-Benz A Class A180 Sport,2016,17000,Petrol,Automatic,First,15.5 kmpl,1595 CC,122 bhp,5,83.7936
1842,Hyundai Grand i10 1.2 Kappa Magna,2018,46493,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,26.862528
1843,Hyundai i10 Sportz 1.2,2009,68000,Petrol,Manual,Third,20.36 kmpl,1197 CC,78.9 bhp,5,9.47232
1844,Maruti Swift DDiS ZDI Plus,2017,2000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,39.83232
1845,Honda City 1.3 EXI,1999,140000,Petrol,Manual,First,13.0 kmpl,1343 CC,90 bhp,5,4.37184
1846,Toyota Innova 2.5 GX (Diesel) 7 Seater,2013,255000,Diesel,Manual,Third,12.99 kmpl,2494 CC,100.6 bhp,7,31.5744
1847,Mini Cooper Countryman D High,2014,45535,Diesel,Automatic,First,23.8 kmpl,1998 CC,112 bhp,5,94.286016
1848,Fiat Linea T-Jet Active,2016,39228,Petrol,Manual,First,15.7 kmpl,1368 CC,112.4 bhp,5,31.963008
1849,Chevrolet Aveo 1.4 LT,2011,57000,Petrol,Manual,Second,14.49 kmpl,1399 CC,92.7 bhp,5,10.20096
1850,Hyundai i10 Era 1.1,2008,85445,Petrol,Manual,Second,19.81 kmpl,1086 CC,68.05 bhp,5,9.7152
1851,Hyundai Xcent 1.1 CRDi Base,2015,54000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,17.97312
1852,Maruti Celerio VXI AT,2014,53000,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5,18.45888
1853,Hyundai i10 Sportz,2014,60000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,15.7872
1854,Renault Duster 85PS Diesel RxL,2015,65668,Diesel,Manual,First,19.87 kmpl,1461 CC,83.8 bhp,5,26.862528
1855,BMW 3 Series 320d,2011,100000,Diesel,Automatic,Second,22.69 kmpl,1995 CC,190 bhp,5,52.94784
1856,Hyundai Grand i10 Sportz,2018,1800,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,24.77376
1857,Hyundai Santro DX,2007,96000,Petrol,Manual,Second,0.0 kmpl,999 CC,null bhp,5,10.68672
1858,Chevrolet Spark 1.0 LS,2009,44200,Petrol,Manual,Second,18.0 kmpl,995 CC,62 bhp,5,7.77216
1859,Honda City i VTEC VX Option,2018,14000,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,54.648
1860,Volkswagen Vento Diesel Highline,2013,720000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,28.65984
1861,Toyota Fortuner 4x2 4 Speed AT,2012,73000,Diesel,Automatic,First,11.5 kmpl,2982 CC,169 bhp,7,69.94944
1862,Honda City 1.5 S MT,2011,68000,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,17.48736
1863,BMW 5 Series 2013-2017 520d Luxury Line,2017,19543,Diesel,Automatic,First,18.12 kmpl,1995 CC,190 bhp,5,196.7328
1864,Audi Q5 30 TDI quattro Premium Plus,2014,38000,Diesel,Automatic,Second,14.16 kmpl,1968 CC,174.3 bhp,5,189.20352
1865,Maruti Ritz LDi,2014,32805,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,17.48736
1866,Volkswagen Vento 1.5 TDI Highline AT,2016,44782,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5,34.586112
1867,Honda City i DTEC SV,2016,55700,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5,36.529152
1868,Audi A4 New 2.0 TDI Multitronic,2012,60000,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5,50.27616
1869,Skoda Rapid 1.6 MPI Elegance,2014,56000,Petrol,Manual,First,15.0 kmpl,1598 CC,103.52 bhp,5,34.0032
1870,Toyota Fortuner 3.0 Diesel,2011,60000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,52.70496
1871,Chevrolet Optra Magnum 2.0 LT BS3,2010,78563,Diesel,Manual,First,16.52 kmpl,1991 CC,123.7 bhp,5,11.41536
1872,Maruti Eeco 7 Seater Standard,2014,34669,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,14.08704
1873,Maruti Ciaz ZXi,2017,17000,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,37.16064
1874,Maruti Ciaz VDi Plus SHVS,2016,66000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,31.08864
1875,Toyota Innova 2.5 LE 2014 Diesel 7 Seater,2014,102418,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,49.06176
1876,Maruti Swift Dzire VXI,2014,48800,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,20.6448
1877,Toyota Innova Crysta 2.8 GX AT,2019,10601,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,95.45184
1878,Tata Indica V2 eLX,2017,8200,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,21.37344
1879,Hyundai i20 Magna,2012,100000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5,15.7872
1880,Ford Fiesta 1.4 Duratorq ZXI,2012,78000,Diesel,Manual,First,17.8 kmpl,1399 CC,68 bhp,5,13.60128
1881,Chevrolet Enjoy 1.3 TCDi LS 8,2015,50000,Diesel,Manual,First,18.2 kmpl,1248 CC,73.74 bhp,8,20.88768
1882,Ford Fiesta 1.4 Duratorq EXI,2006,89327,Diesel,Manual,Third,17.8 kmpl,1399 CC,68 bhp,5,7.52928
1883,Honda CR-V 2.4 MT,2007,98000,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5,22.83072
1884,Honda Jazz 1.2 VX i VTEC,2017,24700,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,34.343232
1885,Mercedes-Benz GLS 350d Grand Edition,2018,6000,Diesel,Automatic,First,11.0 kmpl,2987 CC,258 bhp,7,383.7504
1886,Hyundai Grand i10 1.2 Kappa Sportz,2018,9434,Petrol,Manual,First,18.9 kmpl,1197 CC,81.86 bhp,5,27.9312
1887,Maruti Ritz VXi,2012,29000,Petrol,Manual,First,18.5 kmpl,1197 CC,85.80 bhp,5,15.7872
1888,Volkswagen Ameo 1.5 TDI Highline AT,2017,22440,Diesel,Automatic,First,22.0 kmpl,1498 CC,108.495 bhp,5,43.184064
1889,Honda City i VTEC SV,2015,73070,Petrol,Manual,First,17.4 kmpl,1497 CC,117.3 bhp,5,28.65984
1890,Honda Jazz 1.2 S i VTEC,2016,21771,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,24.04512
1891,Maruti Swift Ldi BSIV,2014,62000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,18.216
1892,Hyundai Creta 1.6 CRDi AT SX Plus,2017,37024,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5,53.287872
1893,Audi A7 2011-2015 3.0 TDI Quattro,2014,60336,Diesel,Automatic,Second,14.4 kmpl,2967 CC,241.4 bhp,5,121.148544
1894,Hyundai EON D Lite Plus,2014,26008,Petrol,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5,9.569472
1895,Ford Figo Diesel EXI,2010,90000,Diesel,Manual,Second,20.0 kmpl,1399 CC,68 bhp,5,6.80064
1896,Volkswagen Ameo 1.2 MPI Highline,2018,35569,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5,35.314752
1897,Renault Scala Diesel RxL,2013,40000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,19.4304
1898,Honda Jazz 1.2 V i VTEC,2015,45000,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5,23.0736
1899,Hyundai i20 1.2 Sportz,2015,42000,Petrol,Manual,First,17.0 kmpl,1197 CC,80 bhp,5,24.77376
1900,Audi A4 3.0 TDI Quattro Premium,2012,46913,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,78.255936
1901,Mahindra Ssangyong Rexton RX7,2014,62000,Diesel,Automatic,First,11.18 kmpl,2696 CC,184 bhp,7,51.24768
1902,Toyota Fortuner 2.8 2WD AT,2017,15000,Diesel,Automatic,First,12.9 kmpl,2755 CC,174.5 bhp,7,145.728
1903,Skoda Octavia Classic 1.9 TDI MT,2002,69000,Diesel,Manual,First,18.7 kmpl,1896 CC,66 bhp,5,7.77216
1904,Mercedes-Benz New C-Class 250 CDI Classic,2012,41367,Diesel,Automatic,First,15.8 kmpl,2148 CC,170 bhp,5,89.817024
1905,Maruti Ciaz 1.4 Zeta,2018,15982,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,48.381696
1906,Maruti Swift ZDi,2013,99595,Diesel,Manual,Second,22.9 kmpl,1248 CC,74 bhp,5,23.0736
1907,Toyota Qualis FS B3,2002,63000,Diesel,Manual,Third,13.1 kmpl,2446 CC,75 bhp,10,17.73024
1908,BMW 5 Series 2007-2010 525d Sedan,2012,49000,Diesel,Automatic,Second,16.73 kmpl,2495 CC,218 bhp,5,75.2928
1909,Mitsubishi Pajero 2.8 SFX BSIII Dual Tone,2013,48272,Diesel,Manual,First,10.5 kmpl,2835 CC,116.9 bhp,6,57.416832
1910,Toyota Corolla H2,2008,63000,Petrol,Manual,First,13.4 kmpl,1794 CC,125 bhp,5,9.95808
1911,Maruti Wagon R LXI CNG,2016,77000,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,16.03008
1912,Maruti Omni E MPI STD BS IV,2013,11734,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,8,10.9296
1913,Audi A6 2011-2015 2.0 TDI,2014,62012,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,97.734912
1914,Hyundai Xcent 1.2 Kappa S Option CNG,2017,46000,CNG,Manual,First,25.0 km/kg,1197 CC,81.86 bhp,5,24.04512
1915,Honda Jazz 1.5 S i DTEC,2016,45449,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5,36.334848
1916,Mercedes-Benz E-Class 200 Kompressor Elegance,2004,85000,Petrol,Automatic,Second,10.5 kmpl,1796 CC,157.7 bhp,5,26.7168
1917,Honda City 1.5 EXI,2005,88000,Petrol,Manual,Second,13.0 kmpl,1493 CC,100 bhp,,8.25792
1918,Audi A4 2.0 TDI,2013,45330,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5,64.071744
1919,Maruti Swift Dzire VXI,2012,88000,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,18.70176
1920,Maruti Dzire VDI,2016,45376,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5,27.9312
1921,Mahindra XUV500 W8 4WD,2014,81000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,43.7184
1922,Chevrolet Beat LT,2012,83381,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5,10.735296
1923,Ford EcoSport 1.5 Diesel Titanium Plus,2017,78526,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5,39.297984
1924,BMW 5 Series 2013-2017 530d M Sport,2017,27313,Diesel,Automatic,First,14.69 kmpl,2993 CC,258 bhp,5,236.225088
1925,Audi Q5 30 TDI quattro Premium Plus,2015,42747,Diesel,Automatic,Second,14.16 kmpl,1968 CC,174.3 bhp,5,191.729472
1926,BMW X1 sDrive 20d xLine,2015,42265,Diesel,Automatic,Second,20.68 kmpl,1995 CC,190 bhp,5,108.033024
1927,Hyundai i10 Magna AT,2009,21000,Petrol,Automatic,First,19.2 kmpl,1197 CC,80 bhp,5,12.62976
1928,Hyundai Creta 1.6 CRDi AT SX Plus,2016,55100,Diesel,Automatic,First,17.01 kmpl,1582 CC,126.2 bhp,5,58.2912
1929,Audi A4 2.0 TDI 177 Bhp Premium Plus,2014,70000,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,87.4368
1930,Mercedes-Benz S Class 2005 2013 S 350 L,2007,55000,Petrol,Automatic,Third,10.13 kmpl,3498 CC,364.9 bhp,5,48.527424
1931,Hyundai i10 Magna,2012,58235,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,11.90112
1932,Ford EcoSport 1.5 Diesel Titanium,2017,26000,Diesel,Manual,First,23.0 kmpl,1498 CC,98.96 bhp,5,43.669824
1933,Volkswagen Vento Diesel Highline,2011,35000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,15.30144
1934,Maruti Dzire ZDI Plus,2017,24000,Diesel,Manual,First,28.4 kmpl,1248 CC,73.75 bhp,5,39.83232
1935,Mahindra Scorpio 1.99 S10,2016,98000,Diesel,Manual,First,15.4 kmpl,1997 CC,120 bhp,7,55.8624
1936,Hyundai i20 Asta 1.4 CRDi,2016,44487,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5,35.46048
1937,Maruti Alto LXi,2008,65000,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,7.723584
1938,Hyundai i10 Magna,2015,34951,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5,15.30144
1939,Mahindra Scorpio S6 7 Seater,2015,52373,Diesel,Manual,Second,15.4 kmpl,2179 CC,120 bhp,7,41.2896
1940,Skoda Fabia 1.2L Diesel Classic,2010,66285,Diesel,Manual,First,19.5 kmpl,1199 CC,75 bhp,5,14.5728
1941,BMW X5 xDrive 30d,2012,66000,Diesel,Automatic,First,15.3 kmpl,2993 CC,258 bhp,5,102.0096
1942,Honda Jazz 1.5 S i DTEC,2016,43000,Diesel,Manual,First,27.3 kmpl,1498 CC,98.6 bhp,5,37.6464
1943,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,2013,45200,Diesel,Automatic,First,10.0 kmpl,2148 CC,170 bhp,5,111.7248
1944,Mahindra XUV500 AT W10 FWD,2016,41000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7,66.792
1945,Honda City i VTEC CVT SV,2017,39430,Petrol,Automatic,First,18.0 kmpl,1497 CC,117.3 bhp,5,40.269504
1946,Maruti Swift VDI,2014,83274,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,28.125504
1947,Mercedes-Benz New C-Class 220 CDI AT,2017,32324,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5,148.1568
1948,Honda City 1.5 S MT,2011,49999,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,18.45888
1949,Tata Sumo EX,2014,66000,Diesel,Manual,First,15.3 kmpl,2956 CC,83.8 bhp,7,21.61632
1950,Hyundai i20 Magna,2012,54000,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5,16.03008
1951,Fiat Linea 1.3 Dynamic,2009,80000,Diesel,Manual,Second,20.4 kmpl,1248 CC,91.2 bhp,5,8.5008
1952,Honda Civic 2006-2010 1.8 V AT,2011,72000,Petrol,Automatic,Second,12.9 kmpl,1799 CC,130 bhp,5,26.7168
1953,Hyundai Creta 1.6 SX Plus Diesel,2017,44865,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5,64.84896
1954,Audi A3 35 TDI Technology,2017,22000,Diesel,Automatic,Second,20.38 kmpl,1968 CC,143 bhp,5,109.296
1955,Hyundai Verna VTVT 1.6 SX Option,2013,57478,Petrol,Manual,Second,17.0 kmpl,1591 CC,121.3 bhp,5,25.5024
1956,Hyundai i20 1.4 CRDi Magna,2011,75000,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,18.216
1957,Honda Mobilio S i DTEC,2015,50624,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7,30.700032
1958,Hyundai Verna 1.6 SX CRDI (O) AT,2018,75000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,37.6464
1959,Ford Fiesta 1.6 ZXI Duratec,2006,87000,Petrol,Manual,Second,15.3 kmpl,1596 CC,101 bhp,5,6.654912
1960,Hyundai i10 Sportz 1.2,2010,62000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,10.20096
1961,Maruti Vitara Brezza ZDi,2016,41372,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,45.17568
1962,Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,70000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,58.2912
1963,Mercedes-Benz GLA Class 200 d Sport,2017,35000,Diesel,Automatic,First,17.9 kmpl,2143 CC,136 bhp,5,114.1536
1964,Maruti Alto LXi BSIII,2006,71993,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5,8.74368
1965,Mercedes-Benz New C-Class C 220 CDI Elegance AT,2013,62000,Diesel,Automatic,Second,14.84 kmpl,2143 CC,170 bhp,5,60.72
1966,Maruti Swift LDI,2015,51000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,23.025024
1967,Hyundai Grand i10 Sportz,2016,26038,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,26.376768
1968,Toyota Fortuner 4x4 AT,2018,37713,Diesel,Automatic,Second,12.55 kmpl,2982 CC,168.5 bhp,7,153.597312
1969,Toyota Innova 2.0 GX 8 STR,2011,78088,Petrol,Manual,First,12.4 kmpl,1998 CC,132 bhp,8,30.60288
1970,Ford EcoSport 1.5 TDCi Titanium,2017,30453,Diesel,Manual,First,22.77 kmpl,1498 CC,98.59 bhp,5,41.04672
1971,Ford Figo 1.2P Titanium MT,2016,54000,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5,24.288
1972,Toyota Fortuner 3.0 Diesel,2011,190000,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,63.1488
1973,Maruti Swift Dzire VXI,2012,65097,Petrol,Manual,First,19.1 kmpl,1197 CC,85.8 bhp,5,22.83072
1974,BMW 7 Series 740Li,2018,28060,Petrol,Automatic,First,12.05 kmpl,2979 CC,320 bhp,5,455.011392
1975,Skoda Superb 1.8 TSI MT,2012,282000,Petrol,Manual,First,13.14 kmpl,1798 CC,160 bhp,5,16.03008
1976,Maruti Wagon R LXI Minor,2009,111000,Petrol,Manual,Second,18.9 kmpl,1061 CC,67 bhp,5,7.334976
1977,Renault Duster 110PS Diesel RxZ,2013,63295,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,29.582784
1978,Maruti Ciaz VXi Plus,2015,35770,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,28.90272
1979,Hyundai Elantra CRDi SX,2012,125928,Diesel,Manual,First,22.7 kmpl,1582 CC,126.24 bhp,5,43.7184
1980,Skoda Rapid 1.5 TDI AT Elegance,2015,45000,Diesel,Automatic,First,21.66 kmpl,1498 CC,103.52 bhp,5,20.6448
1981,Mercedes-Benz New C-Class C 220 CDI Elegance AT,2013,21000,Diesel,Automatic,First,14.84 kmpl,2143 CC,170 bhp,5,114.1536
1982,Honda Accord 2.4 A/T,2011,54774,Petrol,Automatic,First,11.7 kmpl,2354 CC,177.6 bhp,5,30.84576
1983,Maruti Celerio VXI,2014,41123,Petrol,Manual,First,23.1 kmpl,998 CC,67.04 bhp,5,16.51584
1984,BMW 7 Series 740Li,2017,17465,Petrol,Automatic,First,12.05 kmpl,2979 CC,320 bhp,5,451.7568
1985,BMW 3 Series 320d Sport,2014,48000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,104.92416
1986,Volkswagen Vento Diesel Trendline,2011,173000,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5,19.4304
1987,Maruti Swift Dzire Tour LDI,2018,12000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5,26.7168
1988,Land Rover Freelander 2 SE,2012,34000,Diesel,Automatic,First,12.39 kmpl,2179 CC,147.51 bhp,5,93.5088
1989,Hyundai i20 1.4 CRDi Magna,2012,71360,Diesel,Manual,First,21.9 kmpl,1396 CC,90 bhp,5,19.18752
1990,Maruti Dzire VDI,2012,74000,Diesel,Manual,Second,28.4 kmpl,1248 CC,73.75 bhp,5,20.6448
1991,Jeep Compass 2.0 Longitude,2018,28937,Diesel,Manual,First,17.1 kmpl,1956 CC,170 bhp,5,82.676352
1992,Maruti Ertiga VDI,2012,82085,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7,31.5744
1993,Ford Figo Petrol ZXI,2011,68465,Petrol,Manual,First,15.6 kmpl,1196 CC,70 bhp,5,14.32992
1994,Toyota Corolla Altis 1.4 DG,2013,63854,Diesel,Manual,First,21.43 kmpl,1364 CC,86.79 bhp,5,34.586112
1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,3000,Diesel,Automatic,First,24.3 kmpl,1248 CC,88.5 bhp,5,54.648
1996,Honda City 1.5 S MT,2009,65055,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,13.3584
1997,Mahindra Scorpio S10 4WD,2015,120000,Diesel,Manual,First,15.4 kmpl,2179 CC,120 bhp,7,58.2912
1998,Hyundai Xcent 1.2 VTVT SX,2014,64241,Petrol,Manual,First,20.14 kmpl,1197 CC,81.86 bhp,5,17.827392
1999,Mercedes-Benz E-Class 220 CDI,2001,121000,Diesel,Manual,First,15.0 kmpl,2148 CC,null bhp,5,24.288
2000,Mahindra Renault Logan 1.4 GLX Petrol,2008,2200,Petrol,Manual,First,15.7 kmpl,1390 CC,75 bhp,5,11.17248
2001,Skoda Octavia 1.9 TDI,2008,88123,Diesel,Manual,First,18.7 kmpl,1896 CC,66 bhp,5,10.68672
2002,Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2014,79000,Diesel,Automatic,First,12.0 kmpl,2987 CC,224 bhp,7,199.1616
2003,BMW X1 sDrive 20d xLine,2016,28143,Diesel,Automatic,First,20.68 kmpl,1995 CC,190 bhp,5,138.4416
2004,Volkswagen Vento 2013-2015 1.6 Comfortline,2015,23001,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5,26.668224
2005,Audi A4 2.0 TDI,2013,82002,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5,85.008
2006,Ford Ikon 1.4 TDCi DuraTorq,2009,75000,Diesel,Manual,First,13.8 kmpl,1399 CC,68 bhp,5,9.666624
2007,Hyundai Verna 1.6 CRDi EX MT,2016,37451,Diesel,Manual,First,22.32 kmpl,1582 CC,126.3 bhp,5,32.254464
2008,Toyota Innova Crysta 2.4 VX MT,2017,67000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7,80.1504
2009,Hyundai Grand i10 Asta Option,2016,25000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,24.288
2010,Volkswagen Ameo 1.2 MPI Comfortline,2017,12000,Petrol,Manual,First,17.0 kmpl,1198 CC,73.75 bhp,5,26.23104
2011,Renault KWID RXT,2017,25000,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,14.524224
2012,Honda City 1.5 S MT,2011,95936,Petrol,Manual,First,17.0 kmpl,1497 CC,118 bhp,5,19.91616
2013,Hyundai Grand i10 1.2 Kappa Magna AT,2018,5354,Petrol,Automatic,First,18.9 kmpl,1197 CC,81.86 bhp,5,32.837376
2014,Volkswagen Polo 1.0 MPI Comfortline,2016,42000,Petrol,Manual,Second,18.78 kmpl,999 CC,75 bhp,5,26.7168
2015,Maruti Swift VDI BSIV,2014,44282,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5,29.097024
2016,Nissan Sunny 2011-2014 Diesel XV,2012,70000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5,12.581184
2017,Jaguar XF 2.2 Litre Luxury,2013,31400,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5,129.9408
2018,Maruti Ciaz ZDi SHVS,2016,50000,Diesel,Manual,First,28.09 kmpl,1248 CC,88.5 bhp,5,41.2896
2019,Audi Q5 2008-2012 2.0 TDI,2011,53000,Diesel,Automatic,First,12.8 kmpl,1968 CC,167.6 bhp,5,111.7248
2020,Ford Figo Petrol ZXI,2014,21727,Petrol,Manual,First,15.6 kmpl,1196 CC,70.02 bhp,5,16.27296
2021,Hyundai Santa Fe 4x4 AT,2012,43000,Diesel,Automatic,Second,11.72 kmpl,2199 CC,194.3 bhp,7,52.2192
2022,Mahindra Scorpio VLX 2WD AIRBAG BSIV,2013,75000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,30.554304
2023,Renault Duster 110PS Diesel RxL,2014,73557,Diesel,Manual,First,19.6 kmpl,1461 CC,108.45 bhp,5,37.6464
2024,Audi A4 New 2.0 TDI Multitronic,2012,44555,Diesel,Automatic,First,15.2 kmpl,1968 CC,140.8 bhp,5,65.5776
2025,Maruti Eeco 7 Seater Standard,2013,54885,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,7,18.216
2026,Mahindra Xylo E4,2011,76000,Diesel,Manual,Second,14.0 kmpl,2498 CC,112 bhp,7,18.216
2027,Maruti Wagon R LXI,2006,101000,Petrol,Manual,Second,18.9 kmpl,998 CC,67.1 bhp,5,7.2864
2028,Maruti Wagon R LXI BSIII,2005,66000,Petrol,Manual,First,14.0 kmpl,1061 CC,64 bhp,5,7.04352
